obj|statement|label|book|page
5c807488-74f9-44ad-91c6-6a63c09f7c13|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
605c9e73-0a35-4f22-b164-539fe1a611d7|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6174e215-2419-4b5b-8238-34a60dc9be24|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
621caf8c-29a5-43f7-9619-b6848a33edf1|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6436c5eb-4e56-4932-bf74-0a8f29732beb|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
64c2cb47-bbfc-44c4-9108-3dd6859150f0|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6532867f-138f-4007-8dbf-2e8b3bdb2415|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
657031c9-ed56-4fc9-8976-595567fdcebe|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
69d9726e-b3fb-4420-9623-0e654bea07c7|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6a333d42-f63e-42a5-b569-48473ddb92d4|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6a881b21-9361-4adb-aac1-5a35f3d31e50|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6b46eb63-a258-4076-963f-49b2d0a8530f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6ba4ab65-07fb-4ec5-bc66-dc9646afd17e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6c1486fd-19ab-4b16-9c68-45f720772680|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6e7ed584-db00-4e8d-8652-54931f4ce804|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6ea50e3c-bc0a-494e-ab44-5b5a0451ae37|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6f5e3fb8-226d-464b-891b-4e15411c0d24|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
70f2a29f-91ee-408b-805b-23e02c5bf981|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
711fa231-3bf1-4be0-83a7-23ea30138424|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
722bc351-bf41-4d1f-a03e-64a0c576a4a8|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
753cfb6d-5d45-4e35-852e-e58579a57412|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
78047d0d-07f8-495c-9827-50998ca11300|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
7f7e2b5c-de75-429e-893c-beec0bdb7ca4|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
7f8153b1-3574-43b6-ad0c-7a0dff121a76|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
8332c162-43a7-4d3e-8376-2496e0967fe5|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
84fdef8d-8c45-40bf-93c9-7a1fd2cb6f22|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
85ecb9a4-0aeb-4b88-9bbf-3f0bd5f5caf3|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
8676222f-2320-4167-b279-21f167c91b25|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
8703dc7e-579e-48f0-a102-bac259527763|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
870d4d32-d276-49bb-b842-b7e13d7efa2a|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
87aca77e-71e9-41e5-b34b-bcbf784b5a16|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
886b1ad7-c519-4765-b5f0-6cc51e735f93|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
8b1cbec4-7d37-4381-84d7-9f159ac68ee9|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
8dd07582-bdda-4e94-b4dc-e944b160cf51|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
8eb7e35a-5a39-4934-80e5-7d6d98643a28|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
90d10a7c-f73b-4e3a-b8d7-11f6047b2add|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
92e51a4c-2f27-4bf9-a9f3-9ca0f5b2eff7|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
94852fe4-96c0-4b8f-9b0b-637c51391f39|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
95c8cc98-06a8-4bb6-a85b-fcc93c98689f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
96e547e8-fe6b-42b1-ab53-017d68ed0cb3|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
9851bb13-303e-452b-ae1d-afa27fc5f7a0|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
9bbd03c5-33a3-4682-90f1-4ddd6c7fe57d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
a0461f1c-604d-4095-98fb-c75e7327a146|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
a19b3ee3-ecbf-430a-ada5-e373c7a8eff7|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
a49ddae3-8417-4928-a034-50763bb57d32|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
a5f7aedf-6f19-4ffd-87cd-5fa1dfaefd98|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
a64e709f-68b2-41d0-9483-4428561c91fb|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
